
Reading from file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_38.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/GithubProjects/HybridTSPSolver/src/HybridSolver/results/AdjacencyMatrix/tsp_100_nodes_hybrid/tsp_result_38.txt'

Optimal tour found with candidate node = 59, elapsed time = 154.246907s and interrupted = FALSE

B-&-B tree with generated BBNodes = 58062,  explored BBNodes = 11721 and max tree level = 13

Number of fixed edges = 5915229

SUBPROBLEM with cost = 7.740478, type = CLOSED_NEW_BEST, level of the BB tree = 7, prob = 0.994915, BBNode number = 18520 and time to obtain = 123.953751s
MST or 1-Tree with cost: 7.782464 and validity = TRUE
Edge4258: 62 <--> 73 weight = 0.019474 prob = 0.999040
Edge553: 5 <--> 73 weight = 0.063911 prob = 0.980344
Edge506: 5 <--> 26 weight = 0.064054 prob = 0.999771
Edge2275: 26 <--> 52 weight = 0.111966 prob = 0.991563
Edge3859: 52 <--> 89 weight = 0.078320 prob = 0.997343
Edge1619: 17 <--> 89 weight = 0.077761 prob = 0.987176
Edge2346: 27 <--> 51 weight = 0.036748 prob = 1.000000
Edge710: 7 <--> 45 weight = 0.038194 prob = 1.000000
Edge2808: 34 <--> 37 weight = 0.027446 prob = 1.000000
Edge891: 9 <--> 45 weight = 0.077976 prob = 1.000000
Edge722: 7 <--> 57 weight = 0.100144 prob = 1.000000
Edge2826: 34 <--> 55 weight = 0.045908 prob = 1.000000
Edge1958: 22 <--> 33 weight = 0.060827 prob = 1.000000
Edge858: 9 <--> 12 weight = 0.066369 prob = 1.000000
Edge1535: 16 <--> 87 weight = 0.046287 prob = 0.922082
Edge3380: 43 <--> 69 weight = 0.010287 prob = 0.999945
Edge1357: 14 <--> 76 weight = 0.044202 prob = 1.000000
Edge1332: 14 <--> 51 weight = 0.084993 prob = 1.000000
Edge3933: 54 <--> 72 weight = 0.043735 prob = 1.000000
Edge4536: 70 <--> 91 weight = 0.030398 prob = 1.000000
Edge4850: 85 <--> 90 weight = 0.007813 prob = 1.000000
Edge4383: 65 <--> 93 weight = 0.091966 prob = 1.000000
Edge4066: 57 <--> 76 weight = 0.120971 prob = 1.000000
Edge3313: 42 <--> 58 weight = 0.064780 prob = 1.000000
Edge2753: 33 <--> 47 weight = 0.054702 prob = 1.000000
Edge4288: 63 <--> 67 weight = 0.075026 prob = 0.998945
Edge3374: 43 <--> 63 weight = 0.036730 prob = 0.996955
Edge1261: 13 <--> 65 weight = 0.074344 prob = 1.000000
Edge3047: 37 <--> 87 weight = 0.070767 prob = 0.999859
Edge2362: 27 <--> 67 weight = 0.121434 prob = 0.993728
Edge1538: 16 <--> 90 weight = 0.058981 prob = 0.997358
Edge2642: 31 <--> 69 weight = 0.040423 prob = 0.991060
Edge153: 1 <--> 55 weight = 0.099947 prob = 0.999948
Edge3579: 47 <--> 54 weight = 0.074430 prob = 1.000000
Edge4041: 56 <--> 93 weight = 0.095117 prob = 1.000000
Edge1254: 13 <--> 58 weight = 0.055250 prob = 1.000000
Edge3166: 39 <--> 85 weight = 0.065722 prob = 0.997807
Edge1967: 22 <--> 42 weight = 0.156668 prob = 1.000000
Edge1208: 12 <--> 98 weight = 0.085156 prob = 0.990447
Edge592: 6 <--> 19 weight = 0.148100 prob = 1.000000
Edge1561: 17 <--> 31 weight = 0.111054 prob = 0.945535
Edge645: 6 <--> 72 weight = 0.160045 prob = 1.000000
Edge4921: 91 <--> 98 weight = 0.096253 prob = 0.979270
Edge117: 1 <--> 19 weight = 0.167035 prob = 1.000000
Edge3151: 39 <--> 70 weight = 0.158845 prob = 0.998566
Edge254: 2 <--> 59 weight = 0.166364 prob = 1.000000
Edge4007: 56 <--> 59 weight = 0.162602 prob = 1.000000

Cycle with 100 edges:  2 <-> 59   2 <-> 96   95 <-> 96   75 <-> 95   75 <-> 79   66 <-> 79   64 <-> 66   64 <-> 94   18 <-> 94   18 <-> 61   40 <-> 61   32 <-> 40   20 <-> 32   20 <-> 28   28 <-> 68   49 <-> 68   29 <-> 49   29 <-> 81   25 <-> 81   25 <-> 44   15 <-> 44   15 <-> 86   86 <-> 99   48 <-> 99   10 <-> 48   10 <-> 53   35 <-> 53   35 <-> 92   84 <-> 92   23 <-> 84   0 <-> 23   0 <-> 74   50 <-> 74   41 <-> 50   8 <-> 41   8 <-> 78   60 <-> 78   24 <-> 60   24 <-> 71   71 <-> 88   21 <-> 88   21 <-> 30   4 <-> 30   3 <-> 4   3 <-> 36   11 <-> 36   11 <-> 77   77 <-> 97   83 <-> 97   46 <-> 83   46 <-> 82   80 <-> 82   38 <-> 80   38 <-> 62   62 <-> 73   5 <-> 73   5 <-> 26   26 <-> 52   52 <-> 89   17 <-> 89   17 <-> 31   31 <-> 69   43 <-> 69   43 <-> 63   63 <-> 67   27 <-> 67   27 <-> 51   14 <-> 51   14 <-> 76   57 <-> 76   7 <-> 57   7 <-> 45   9 <-> 45   9 <-> 12   12 <-> 98   91 <-> 98   70 <-> 91   39 <-> 70   39 <-> 85   85 <-> 90   16 <-> 90   16 <-> 87   37 <-> 87   34 <-> 37   34 <-> 55   1 <-> 55   1 <-> 19   6 <-> 19   6 <-> 72   54 <-> 72   47 <-> 54   33 <-> 47   22 <-> 33   22 <-> 42   42 <-> 58   13 <-> 58   13 <-> 65   65 <-> 93   56 <-> 93   56 <-> 59 
60 Mandatory edges
4705 Forbidden edges
Time taken: 160.4375569820404s
